Date,CO2,Vent,Humidite,NO_Monoxyde_azote,NOX_Oxyde_azote,O3_Ozone,Poussieres,SO2_Dioxyde_de_soufre,Temperature,Direction_vent
20/11/2019,1.77,120.66,65.28,161.13,197.27,1.71,62.01,29.69,3.45,1.81
21/11/2019,1.95,121.98,66.46,162.11,198.24,1.71,60.30,30.76,3.08,1.85
22/11/2019,1.79,115.65,68.58,173.34,208.50,1.59,57.37,27.90,2.48,1.55
23/11/2019,1.58,108.93,70.36,177.25,211.43,1.59,53.96,26.11,2.22,2.45
24/11/2019,1.21,113.02,69.58,104.00,135.74,0.98,51.03,22.89,2.41,2.42
25/11/2019,1.20,123.83,70.04,83.50,114.26,1.22,49.07,21.46,2.27,2.37
26/11/2019,1.02,131.87,70.17,63.96,93.75,1.00,44.68,20.39,2.29,2.57
27/11/2019,1.09,125.67,70.97,62.50,92.29,1.00,41.99,21.10,2.02,2.09
28/11/2019,1.12,129.36,73.36,71.78,101.56,1.22,40.53,22.18,1.41,1.83
29/11/2019,1.03,132.00,73.10,74.22,103.03,1.34,41.02,21.10,1.64,2.29
30/11/2019,0.88,131.34,73.66,66.41,95.21,1.34,41.26,21.10,1.44,1.84
01/12/2019,0.91,127.65,74.85,68.36,96.68,1.22,42.72,22.53,1.13,1.58
02/12/2019,0.95,114.99,75.68,89.84,119.63,1.59,44.43,22.53,0.90,1.61
